word,meaning
frustrated,（形）いらいらした、欲求不満の
underrate,（動）〜を過小評価する、見くびる
merge,（動）①（〜を）統合する、合併する ②〜を融合させる
distract,（動）（注意など）をそらす、散らす
browse,（動）①（店などを）見て回る ②（ウェブサイト）をあちこち見る ③（本など）を拾い読みする
circulation,（名）①（印刷物の）発行部数 ②流通、循環
admission,（名）入場許可、入会許可、入学許可
digestion,（名）消化（作用）、消化力
alteration,（名）（小さな）変更、修正（点）
violation,（名）（法律・規則などの）違反
suspend,（動）①〜を停職（処分）にする ②〜を一時停止する、中止する
transaction,（名）取引、売買
coverage,（名）（テレビ・新聞などの）報道、取材
incentive,（名）動機、インセンティブ
diagnose,（動）〜を診断する
hesitant,（形）ためらった、ちゅうちょした
downturn,（名）（景気・物価などの）下落、沈滞
evacuate,（動）避難する
assert,（動）〜を断言する、…と言い張る
hygiene,（名）衛生（状態）
breakthrough,（名）飛躍的な進歩、現状突破
epidemic,（名）流行、伝染（病）
accusation,（名）告発、非難
spoil,（動）①（子どもなど）を甘やかす ②〜を台なしにする、だめにする ③〜をぜいたくにもてなす
consultation,（名）相談、協議
immigrate,（動）移住する、入植する
exhaust,（動）①（財産・資源など）を使い尽くす ②（人）を疲れ果てさせる ③（可能性など）を調べ尽くす
upbringing,（名）（子どもの）しつけ、教育
neglect,（動）〜を無視する、なおざりにする
prescribe,（動）〜を処方する
informative,（形）情報を提供する、有益な
unearth,（動）①（偶然）〜を見つける、発見する ②〜を掘り出す、発掘する
prospect,（名）見込み、可能性
stem,（名）茎、幹
obligation,（名）①（法的・道徳的）義務、責務 ②（人への）義理、恩義
divert,（動）①〜の方向を変える ②（注意など）をそらす
sustain,（動）〜を維持する、持続させる
residential,（形）住宅用の、居住に適した
reign,（名）治世、在位［統治］期間
dilemma,（名）ジレンマ、板ばさみ
overstate,（動）〜を大げさに話す、誇張する
irritate,（動）①〜をいらいらさせる ②（体の一部）をひりひりさせる、〜に炎症を起こさせる
alliance,（名）（国・政党などの）同盟、（企業などの）提携
compliment,（動）〜を褒める、称賛する
narrowly,（副）①かろうじて、間一髪で ②綿密に、入念に ③限定して、狭めて
disrupt,（動）（会合・制度・交通など）を混乱させる、中断させる
prosper,（動）（人・事業などが）繁栄する、成功する
irrational,（形）不合理な、ばかげた
devastate,（動）（国・地域など）を壊滅させる
virtually,（副）実質的には、ほとんど
mobility,（名）動きやすさ、可動性
modify,（動）〜を（部分的に）修正する、変更する
quota,（名）①（生産・販売などの）分担、ノルマ ②分け前、取り分
exotic,（形）外国産の、外来種の
preservative,（名）保存料、防腐剤
oversee,（動）〜を監督する、監視する
disturbance,（名）騒ぎ、暴動
competent,（形）有能な、力量のある
substitute,（名）代わり、代用品
attribute,（動）〜のせいにする
passionate,（形）（人・行為などが）情熱的な、熱心な
doom,（動）〜を（悪く）運命づける
precedent,（名）前例、先例
misleading,（形）誤解を招きやすい、人を惑わせる
literally,（副）文字通りに
patent,（名）特許（権）
fatigue,（名）疲労、倦怠感
convey,（動）（意思・情報など）を伝える
intentionally,（副）意図的に、わざと
migration,（名）（人・動物などの）移動、移住
perch,（動）（鳥が）（止まり木に）止まる
sue,（動）（人・会社など）を告訴する
indispensable,（形）不可欠な、欠くことのできない
array,（名）[an array of ~] 多数の〜、数々の〜
aspire,（動）目指す、熱望する
invariably,（副）いつも、決まって
subsequent,（形）そのあとの、それに続く
furnished,（形）（部屋・家などが）家具つきの
boast,（動）①自慢する、誇る ②〜を誇っている
privatize,（動）〜を民営化する
dominance,（名）支配、優勢
envision,（動）（将来など）を想像する
probability,（名）公算、見込み
selective,（形）慎重に選択する
discouraging,（形）がっかりさせるような
faulty,（形）欠陥のある、不完全な
uproot,（動）〜を（親しんだ場所から）引き離す、追い立てる
memoir,（名）回顧録、回想録
initiate,（動）〜を始める
dent,（名）へこみ、くぼみ
likeness,（名）①似ていること、類似点 ②似顔絵
idealistic,（形）理想主義的な
collaborate,（動）（科学・文芸などの分野で）協力する、共同で行う
erode,（動）①（関係・自信などが）損なわれる、失われる ②浸食される；〜を浸食する
amicable,（形）友好的な、円満な
odor,（名）（独特の強い）匂い、（嫌な）臭気
reinforce,（動）〜を強化する、強固にする
facilitate,（動）〜を容易にする、促進する
accumulate,（動）①たまる、蓄積する、積もる ②〜をためる、蓄積する
duration,（名）（継続）期間
commemorate,（動）〜を記念する、祝う
submission,（名）①提出物、提示案 ②提出
observance,（名）（行事を）祝うこと；（規則などを）守ること
quote,（名）①見積もり ②引用（文）
rusty,（形）①（能力・技術などが）鈍った、さびついた ②さびた
illiterate,（形）読み書きのできない
cite,（動）（例として）〜を挙げる、引用する
assure,（動）…だと（人）に保証する、請け合う
testament,（名）あかし、証拠
collide,（動）（乗り物・人などが）衝突する
annoyance,（名）悩みの種、いらいらの元
inventory,（名）①在庫、（店内の）全商品 ②在庫一覧
spotless,（形）汚れていない、しみひとつない
kinship,（名）（性質などの）類似、近似
chronological,（形）年代順の、日付順の
bleak,（形）（見通しが）よくない、暗い
calamity,（名）災難、惨事
clutter,（名）（乱雑に）散らかったもの
coincidence,（名）（好み・出来事などの）偶然の一致
knot,（名）結び目
afflict,（動）（病気・災害などが）（人・国など）を苦しめる、悩ませる
formidable,（形）（敵・問題などが）手ごわい
paraphrase,（動）〜を（やさしく）言い換える
remainder,（名）残り、残り時間
converge,（動）（人・乗り物などが）集まる、集結する、群がる
admittedly,（副）確かに、一般に言われているように
traitor,（名）反逆者、裏切り者
indisputable,（形）議論の余地のない、明白な
overcast,（形）雲で覆われた、どんよりした
preoccupied,（形）夢中になった、心を奪われている
ironic,（形）（状況・展開などが）皮肉な
ingenuity,（名）創意、巧妙さ
endow,（動）①〜に（基金などを）寄付する ②（人）に（才能などを）授ける
intervene,（動）（調停・和平などのために）介入する
hospitality,（名）もてなし、接待
uplifting,（形）気持ちを高揚させる、励みとなる
synchronize,（動）〜を同期させる、（時計などの）時間を合わせる
censor,（動）〜を検閲する
burglary,（名）押し込み強盗、住居侵入
sizzle,（動）ジュージューと音を立てる
prominence,（名）目立つこと、有名
timid,（形）臆病な、小心な
disclose,（動）（秘密・情報など）を明らかにする、公表する
authorize,（動）〜に権限を与える、許可する
mock,（動）〜をばかにする、からかう
preconceived,（形）あらかじめ考えた
devour,（動）〜をむさぼり食う
gush,（動）（液体が）噴出する；（液体）を噴出する
plague,（動）〜を悩ませる、苦しめる
sob,（名）すすり泣き
unorthodox,（形）正統でない、型破りな
malicious,（形）悪意のある、意地の悪い
scrutiny,（名）監視、綿密な調査
profess,（動）〜を公言する、明言する
incomprehensible,（形）理解できない、不可解な
reap,（動）（利益・報酬など）を享受する、手にする
ample,（形）豊富な、たっぷりの
miscellaneous,（形）種々雑多な
articulate,（形）①（人が）自分の考えをはっきり述べることができる ②（言葉・発音などが）明瞭な
allocate,（動）〜を割り当てる、配分する
wag,（動）（体の一部）を振る
remorseful,（形）深く後悔した
crave,（動）〜を切望する、〜が欲しくてたまらない
amenity,（名）①（生活・滞在などを快適にする）施設、設備 ②（場所などの）快適さ
evaporate,（動）蒸発する；〜を蒸発させる
apprehension,（名）（将来に関する）不安、心配
dip,（名）（価格・収入などの）低下、落ち込み
excerpt,（名）抜粋、引用
ordeal,（名）辛い体験、試練
mourn,（動）（死・不幸など）を悲しむ、嘆く
autopsy,（名）検死（解剖）
fury,（名）①（悪天候などの）猛威 ②激怒
