列1,列2,列3
1,one,1つの、1人の
2,the,その
3,you,あなたは
4,my,私の
5,father,父
6,do,する
7,your,あなたの
8,in,中に
9,read,読む
10,he,彼は
11,see,見る、わかる
12,it,それは
13,mother,母
14,name,名前
15,like,好む
16,how,どのぐらい
17,school,学校
18,January,1月
19,all,全部、全員、全て、みな
20,old,古い
21,fruit,果物
22,speak,話す
23,where,どこに
24,long,長い
25,study,勉強する
26,chair,いす
27,very,非常に
28,I,私は
29,our,私たちの
30,year,年
31,when,いつ
32,a lot of,たくさんの
33,nice,良い
34,sing,歌う
35,fine,元気な
36,right,右
37,want,欲しい
38,red,赤い
39,much,たくさん
40,here,ここに
41,July,7月
42,cold,冷たい
43,write,書く、手紙を書く
44,station,駅
45,color,色
46,this,この
47,she,彼女は
48,look,見る
49,many,多くの
50,two,2
51,teacher,先生
52,morning,朝
53,use,使う
54,run,走る
55,hungry,空腹の
56,fish,魚
57,lunch,昼食
58,have,持っている
59,eat,食べる
60,know,知っている
61,usually,普通は
62,season,季節
63,book,本
64,winter,冬
65,stop,止める
66,three,3
67,pencil,鉛筆
68,please,どうぞ
69,wall,壁
70,meet,会う
71,May,５月
72,ride,乗る
73,six,6
74,always,いつも
75,drink,飲む
76,four,4
77,sister,姉妹
78,hospital,病院
79,park,公園
80,baseball,野球
81,wash,洗う
82,cake,ケーキ
83,bag,カバン
84,Tuesday,火曜日
85,try,試す
86,cook,料理する
87,watch,見る
88,nurse,看護婦
89,five,5
90,seventeen,17
91,table,つくえ
92,place,場所
93,cup,カップ
94,green,緑
95,we,私たちは
96,fifty,50
97,eleven,11
98,picture,絵、写真
99,happy,幸福な
100,Thursday,木曜日
101,Japan,日本
102,hot,暑い
103,leave,去る、残す、置いて行く
104,garbage,ゴミ
105,hand,手
106,thirty,30
107,dinner,夕食
108,Saturday,土曜日
109,thirteen,13
110,fourteen,14
111,sorry,ごめんなさい
112,large,大きい、広い
113,enjoy,楽しむ
114,flower,花
115,nineteen,19
116,night,夜
117,sheep,ヒツジ
118,car,自動車
119,library,図書館
120,March,3月
121,again,もう一度、再び、また
122,beautiful,美しい
123,Friday,金曜日
124,cool,かっこいい
125,day,日
126,October,10月
127,get,得る
128,map,地図
129,family,家族
130,boy,少年
131,white,白
132,house,家
133,Monday,月曜日
134,country,国
135,box,箱
136,bread,パン
137,sixteen,16
138,eighteen,18
139,put,置く
140,month,月
141,cap,帽子
142,fast,速い
143,April,4月
144,autumn,秋
145,buy,買う
146,swim,泳ぐ
147,city,市
148,room,部屋
149,brother,兄弟
150,walk,散歩
151,August,8月
